timestamp,action,target_decel,cost,predicted_risk,predicted_min_distance,predicted_min_ttc,ext_score,int_score,cross_score,fused_score,fused_level,lead_distance,lead_ttc,closing_speed,lead_warning_level,reasons
1782645350.670,EMERGENCY_BRAKE,6.50,1.1548,1.0000,0.090,0.064,1.0000,0.0000,0.0000,0.3481,1,9.470,0.900,10.500,2,TTC 0.9s critical | distance 9.5m | closing 10.5m/s | pred risk 1.00
1782645351.230,BRAKE,3.50,0.9540,1.0000,2.229,1.134,1.0000,0.0000,0.0000,0.3400,1,6.240,1.300,4.800,2,TTC 1.3s | distance 6.2m | closing 4.8m/s | pred risk 1.00
1782645351.792,BRAKE,3.50,0.8740,0.9040,2.204,1.350,0.8400,0.0000,0.0000,0.3078,1,3.600,1.350,2.660,2,TTC 1.4s | distance 3.6m | closing 2.7m/s | pred risk 0.90
1782645352.351,KEEP,0.00,0.6601,0.7500,3.380,99.000,0.7915,0.0000,0.0000,0.2755,1,3.380,99.000,0.000,2,distance 3.4m | pred risk 0.75
1782645352.894,KEEP,0.00,0.7905,0.8419,7.270,99.000,0.8419,0.0000,0.0000,0.2470,0,7.270,99.000,0.000,0,distance 7.3m | pred risk 0.84
1782645353.452,BRAKE,3.50,0.9088,0.9513,4.314,2.210,0.9048,0.0000,0.0000,0.3149,1,5.570,2.210,2.520,1,TTC 2.2s | distance 5.6m | closing 2.5m/s | pred risk 0.95
1782645354.005,EMERGENCY_BRAKE,6.50,1.1549,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3488,1,3.290,0.550,5.970,1,TTC 0.6s critical | distance 3.3m | closing 6.0m/s | pred risk 1.00
1782645354.552,BRAKE,3.50,0.8537,0.8836,5.854,3.190,0.8461,0.0000,0.0000,0.3164,1,6.690,3.190,2.100,1,TTC 3.2s | distance 6.7m | closing 2.1m/s | pred risk 0.88
1782645355.106,BRAKE,3.50,0.9548,1.0000,2.244,1.020,1.0000,0.0000,0.0000,0.3484,1,8.730,1.350,6.450,2,TTC 1.4s | distance 8.7m | closing 6.5m/s | pred risk 1.00
1782645355.673,EMERGENCY_BRAKE,6.50,1.1281,0.9760,2.763,1.030,0.9600,0.0000,0.0000,0.3427,1,4.550,1.030,4.420,2,TTC 1.0s critical | distance 4.5m | closing 4.4m/s | pred risk 0.98
1782645356.215,BRAKE,3.50,0.8601,0.8909,5.944,3.100,0.8556,0.0000,0.0000,0.3187,1,6.900,3.100,2.220,1,TTC 3.1s | distance 6.9m | closing 2.2m/s | pred risk 0.89
1782645356.745,BRAKE,3.50,0.9546,1.0000,2.324,1.120,1.0000,0.0000,0.0000,0.3457,1,8.150,1.360,6.010,2,TTC 1.4s | distance 8.2m | closing 6.0m/s | pred risk 1.00
